"CODE" "OURCODE" "CS" "PS" "LC"
"23" "MKAT-00-26" "M00NS0023" NA NA "Recognize  the words “put together,”"
"24" "MKAT-00-4" "M00NS0024" NA NA "Recognize the words “take away,”“less,” and “are left” that indicate the act of subtracting whole numbers"
"25" "MKAT-00-3" "M00NS0025" NA NA "Combine elements of two sets using concrete objects to represent theconcept of addition"
"26" "MKAT-00-4" "M00NS0026" NA NA "Take away a quantity from a given set using concrete objects torepresent the concept of subtraction"
"27" "MKAT-00-8" "M00NS0027" NA NA "Add quantities up to 10 using concrete objects"
"28" "MKAT-00-9" "M00NS0028" NA NA "Subtract quantities up to 10 using concrete objects"
"29" "MKAT-00-10" "M00NS0029" NA NA "Use a variety of materials and communicate strategies used todetermine answers to addition and subtraction problems listened to"
"30" "MKAT-00-11" "M00NS0030" NA NA "Solve simple addition and subtraction number stories (up to quantities of10) read by the teacher using a variety of ways (-, concrete materials, drawings) and describeand explain the strategies used"
"31" "MKAT-00-10" "M00NS0031" NA NA "Write addition and subtraction number sentences using concreterepresentations"
"32" "MKAT-00-14" "M00NS0032" NA NA "Recognize and visualize situations that require addition and subtraction"
"33" "MKAT-00-15" "M00NS0033" NA NA "Group, represent, and count sets of equal quantity of materials up to 10(beginning of multiplication)"
"34" "MKAT-00-16" "M00NS0034" NA NA "Separate and represent groups of equal quantities using concreteobjects up to 10 (beginning division)"
"35" "MKAT-00-17" "M00NS0035" NA NA "Divide a whole into two or four equal parts (halves and fourths)"
"36" "MKME-00-4" "M00ME0036" "concepts of size, length, weight, time, and money" "use arbitrary measuring tools/means to determine size, length, weight of things around him/her, time (including his/her own schedule)" "Tell  which activities take a longer or shorter time (recognize and names the things that can be done in a minute, -, washing hands, etc."
"37" "MKME-00-5" "M00ME0037" NA NA "Recognize that a clock and a watch tell time"
"38" "MKME-00-6" "M00ME0038" NA NA "Recognize and name the hour and minute hands in a clock"
"39" "MKME-00-7" "M00ME0039" NA NA "Tell time by the hour"
"40" "MKME-00-3" "M00ME0040" NA NA "Tell the time of day when activitiesare being done, -, morning, afternoon, night"
"41" "MKC_00-10" "M00ME0041" NA NA "Tell the number of days in a week"
"42" "MKME-00-8" "M00ME0042" NA NA "Tell the names of the days in a week, months in a year"
"43" "MKME-00-2" "M00ME0043" NA NA "Compare objects based on their size, length, weight/mass<U+F0B7>big/little<U+F0B7>longer/shorter<U+F0B7>heavier/lighter"
"44" "MKME-00-1" "M00ME0044" NA NA "Use nonstandard measuring tools- length – feet, hand, piece of stringcapacity – mug/glass mass – stone, table blocks"
"45" "MKAT-00-2" "M00ME0045" NA NA "Recognize and identify coins and bills up to PhP20 (pesos and centavos)"
"46" "MKSC-00-11" "M00GE0046" "Objects  can be 2- dimensional or 3- dimensional" "describe and compare 2- dimensional and 3- dimensional objects" "Recognize symmetry (own body, basicshapes)"
"47" "MKSC-00-1" "M00GE0047" NA NA "Recognize simple shapes in the environment"
"48" "MKSC-00-2" "M00GE0048" NA NA "Identify two to three dimensional_shapes"
"49" "MKSC-00-3" "M00GE0049" NA NA "Identify objects in the environment thathas the same shape as a sphere, cube, cylinder"
"50" "MKSC-00-12" "M00GE0050" NA NA "Identify the positions of the objects using \"in,\" \"on,\" \"over,\" \"under,\"\"top,\" and \"bottom\""
"51" "MKAP-00-1" "M00SP0051" "organizing and interpreting data" "make sense of available information" "Collect data on one variable (-, sex/boys or girls) through observationand asking questions"
"52" "MKAP-00-2" "M00SP0052" NA NA "Create simple pictographs"
"53" "MKAP-00-3" "M00SP0053" NA NA "Discuss simple pictographs"
"54" "MKAP-00-5" "M00SP0054" NA NA "Tells possible outcomes of familiar events (-, what to wear on a sunny/rainy days, running fast on awet and slippery corridor, etc."
"55" "M1NS-Ia-1.1" "M01NS1001" " understanding of whole numbers up to 100, ordinal numbers up to 10th, money up to PhP100 and fractions ½ and 1/4.  " " recognize, represent,  and order  whole numbers up to 100 and money up to PhP100 in various forms and contexts. _ recognize, and represent ordinal numbers up to 10th, in various forms and contexts." "visualizes and represents numbers from 0 to 100 using a variety of materials."
"56" "M1NS-Ib-2.1" "M01NS1002" NA NA "counts the number of objects in a given set by ones and tens."
"57" "M1NS-Ib-3" "M01NS1003" NA NA "identifies the number that is one more or one less from a given number."
"58" "M1NS-Ic-4" "M01NS1004" NA NA "composes and decomposes a given number."
"59" "M1NS-Id-5" "M01NS1005" NA NA "regroups sets of ones into sets of tens and sets of tens into hundreds using objects."
"60" "M1NS-Id-6" "M01NS1006" NA NA "visualizes, represents, and compares two sets using the expressions “less than,” “more than,” and “as many as."
"61" "M1NS-Ie-7" "M01NS1007" NA NA "visualizes, represents, and orders sets from least to_greatest"
"62" "M1NS-Ie-8.1" "M01NS1008" NA NA "visualizes and counts by 2s, 5s and 10s through 100."
"63" "M1NS-If-9.1" "M01NS1009" NA NA "reads and writes numbers up to 100  in symbols and  in words."
"64" "M1NS-Ig-10.1" "M01NS1010" NA NA "visualizes and gives the place value and value of a digit in one- and two-digit numbers."
"65" "M1NS-Ig-11" "M01NS1011" NA NA "renames numbers into tens and ones."
"66" "M1NS-Ih-12.1" "M01NS1012" NA NA "visualizes, represents, and compares numbers up to 100 using relation symbols."
"67" "M1NS-Ih-13.1" "M01NS1013" NA NA "visualizes, represents, and orders numbers up to 100 in increasing or decreasing order."
"68" "M1NS-Ii-16.1" "M01NS1014" NA NA "identifies the 1st , 2nd, 3rd, up to 10th object in a given set from a given point of reference."
"69" "M1NS-Ii-17.1" "M01NS1015" NA NA "reads and writes ordinal numbers: 1st, 2nd,  3rd up to10th."
"70" "M1NS-Ij-19.1" "M01NS1016" NA NA "recognizes and compares coins and bills up to PhP100 and their notations."
"71" "M1NS-IIa-23" "M01NS2017" " understanding of addition and subtraction of whole numbers up to 100 including money" " apply addition and subtraction of whole numbers up to 100 including money in mathematical problems and real- life situations." "illustrates addition as “putting together  or combining or joining sets”"
"72" "M1NS-IIa-26.1" "M01NS2018" NA NA "visualizes and adds two one- digit numbers with sums up to 18 using the order and zero properties of addition."
"73" "M1NS-IIa-28.1" "M01NS2019" NA NA "adds two one-digit numbers using appropriate mentaltechniques - adding doubles and/or near-doubles."
"74" "M1NS-IIb-26.2" "M01NS2020" NA NA "visualizes and adds three one-digit numbers using the grouping property of addition."
"75" "M1NS-IIb-27.1" "M01NS2021" NA NA "visualizes and adds two to three one-digit numbers horizontally and vertically."
"76" "M1NS-IIc-27.2" "M01NS2022" NA NA "uses expanded form to explain the meaning of addition with regrouping."
"77" "M1NS-IIc-27.3" "M01NS2023" NA NA "visualizes and adds numbers with sums through 99 without or with regrouping."
"78" "M1NS-IId-28.1" "M01NS2024" NA NA "adds mentally two to three one- digit numbers with sums up to 18 using appropriate strategies."
"79" "M1NS-IId-28.2" "M01NS2025" NA NA "adds mentally two-digit numbers and one-digitnumbers with regrouping using appropriate strategies."
"80" "M1NS-IIe-29.1" "M01NS2026" NA NA "visualizes and solves one- step routine and non-routine problems  involving addition of whole numbers including money with sums up to 99using appropriate problem_solving"
"81" "M1NS-IIe-30.1" "M01NS2027" NA NA "creates situations involving addition of whole numbers including money ."
"82" "M1NS-IIf-24" "M01NS2028" NA NA "illustrates subtraction as “taking away” or “comparing” elements of sets."
"83" "M1NS-IIf-25" "M01NS2029" NA NA "illustrates that addition and subtraction are inverse operations."
"84" "M1NS-IIg-32.1" "M01NS2030" NA NA "visualizes, represents, and subtracts one-digit numbers with minuends through 18 (basic facts)"
"85" "M1NS-IIg-32.2" "M01NS2031" NA NA "visualizes, represents, and subtracts one- to two-digit numbers with minuends up to 99 without regrouping."
"86" "M1NS-IIh-32.3" "M01NS2032" NA NA "uses the expanded form toexplain subtraction with regrouping."
"87" "M1NS-IIh-32.4" "M01NS2033" NA NA "visualizes, represents, and subtracts one- to two-digit numbers with minuends up to 99 with regrouping."
"88" "M1NS-IIi-33.1" "M01NS2034" NA NA "subtracts mentally one-digit numbers from two-digit minuends without regrouping using appropriate strategies."
"89" "M1NS-IIi-34.1" "M01NS2035" NA NA "visualizes, represents, and solves routine and non- routine problems involving subtraction of whole numbers including money with minuends up to 99 with and without regrouping using appropriate problem solving strategies and tools."
"90" "M1NS-IIj-35.1" "M01NS2036" NA NA "creates situations involving subtraction of whole number including money."
"91" "M1NS-IIIa-37" "M01NS3037" " understanding of fractions ½ and 1/4." " recognize, represent,  and compare fractions ½ and 1/4  in various forms and contexts." "counts groups of equal quantity using concrete objects up to 50 and writes an equivalent expression."
"92" "M1NS-IIIa-48" "M01NS3038" NA NA "visualizes, represents, and separates objects into groups of equal quantity using concrete objects  up to 50."
"93" "M1NS-IIIb-72.1" "M01NS3039" NA NA "visualizes and identifies ½ and ¼  of a whole object."
"94" "M1NS-IIIc-73" "M01NS3040" NA NA "visualizes, represents, and divides a whole into halves and fourths."
"95" "M1NS-IIIc-74.1" "M01NS3041" NA NA "visualizes, and divides the elements of sets into two groups of equal quantities to show halves."
"96" "M1NS-IIId-74.2" "M01NS3042" NA NA "visualizes, represents, and divides the elements of sets into four groups of equal quantities to show fourths"
"97" "M1NS-IIId-75" "M01NS3043" NA NA "visualizes and draws the whole region or set given its½ and/or ¼"
"98" "M1GE-IIIe-1" "M01GE3044" " understanding of 2- dimensional and 3- dimensional figures." " describe, compare, and construct 2-dimensional and 3- dimensional objects" "identifies, names, and describes the four basic shapes (square, rectangle, triangle and circle) in 2- dimensional (flat/plane) and 3-dimensional (solid) objects."
"99" "M1GE-IIIe-2" "M01GE3045" NA NA "compares and classifies 2- dimensional (flat/plane) and 3-dimensional (solid) figures according to common attributes."
"100" "M1GE-IIIf-3" "M01GE3046" NA NA "draws the four basic shapes."
"101" "M1GE-IIIf-4" "M01GE3047" NA NA "constructs three dimensional objects (solid) usingmanipulative materials."
"102" "M1AL-IIIg-1" "M01AL3048" " understanding of continuous and repeating patterns and mathematical sentences." " apply knowledge of continuous and repeating patterns  and number sentences in various situations." "determines the missingterm/sin a given continuous patternusing one attribute(letters/ numbers/events)."
"103" "M1AL-IIIg-2" "M01AL3049" NA NA "determines the missing term/sin a given repeating pattern using one attribute(letters, numbers, colors, figures, sizes, etc."
"104" "M1AL-IIIh-8" "M01AL3050" NA NA "constructs equivalent number expression using addition and subtraction."
"105" "M1AL-IIIi-9" "M01AL3051" NA NA "identifies and creates patterns to compose and decompose using addition."
"106" "M1AL-IIIj-10" "M01AL3052" NA NA "visualizes and finds the missing number in an addition or subtraction sentence using a variety of ways-n + 2 = 55 – n = 3"
"107" "M1ME-IVa-1" "M01ME4053" " understanding of time and non-standard units of length, mass and capacity." " apply knowledge of  time and non-standard measures of length, mass, and capacity in mathematical problems and real-life situations" "tells the days in a week; months in a year in the right order."
"108" "M1ME-IVa-2" "M01ME4054" NA NA "determines the day or the month using a calendar."
"109" "M1ME-IVb-3" "M01ME4055" NA NA "tells and writes time by hour, half-hour and quarter-hour using analog clock."
"110" "M1ME-IVb-4" "M01ME4056" NA NA "solves problems involving time (days in a week, months in a year, hour, half-hour, and quarter-hour)"
"111" "M1ME-IVc-19" "M01ME4057" NA NA "compares objects using comparative words: short, shorter, shortest; long, longer, longest; heavy,heavier, heaviest; light, lighter, lightest."
"112" "M1ME-IVd-20" "M01ME4058" NA NA "estimates and measures length using non- standard units of linear measures."
"113" "M1ME-IVe-21" "M01ME4059" NA NA "estimates and measures mass using non-standard units of mass measure."
"114" "M1ME-IVf-22" "M01ME4060" NA NA "estimates and measures capacity using non-standard unit."
"115" "M1SP-IVg-1.1" "M01SP4061" " understanding of pictographs without scales and outcomes of an event using the terms likely and unlikely to happen." " create and interpret simple representations of data (tables and pictographs without scales) and describe outcomes of familiar events using the terms likely and unlikely to happen." "collects data on one variable through simple interview."
"116" "M1SP-IVg-2.1" "M01SP4062" NA NA "sorts, classifies, and organizes data in tabular formand presents this into a pictograph without scales."
"117" "M1SP-IVh-3.1" "M01SP4063" NA NA "infers and interprets datapresented in a  pictographwithout scales."
"118" "M1SP-IVh-4.1" "M01SP4064" NA NA "solves routine and non- routine problems using data presented in pictographwithout scales."
"119" "M1SP-IVi-7.1" "M01SP4065" NA NA "tells whether an event is likely or unlikely to happen."
"120" "M1SP-IVj-8.1" "M01SP4066" NA NA "describe events in real-life situations using the phrases “ likely” or “unlikely to happen”."
"121" "M2NS-Ia-1.2" "M02NS1001" " understanding of  whole numbers up to 1000, ordinal numbers up to 20th, and money up to PhP100. _ understanding of addition of whole numbers up to  1000 including money." " recognize, represent, compare, and order whole numbers up to 1000, ordinal numbers up to 20th, and money up to PhP100 in various forms and contexts. _ recognize and represent ordinal numbers up to 20th in various forms and contexts. _ apply addition  of whole numbers up to 1000 including money in mathematical problems  and real-life situations." "visualizes and represents numbers from 0-1000 with emphasis on numbers 101 – 1 000 using a variety of materials."
"122" "M2NS-Ib-2.2" "M02NS1002" NA NA "groups objects in ones, tens, and hundreds."
"123" "M2NS-Ib-10.2" "M02NS1003" NA NA "gives the place value and finds the value of a digit in three-digit numbers."
"124" "M2NS-Ib-8.2" "M02NS1004" NA NA "visualizes and counts numbers by 10s, 50s, and 100s."
"125" "M2NS-Ic-9.2" "M02NS1005" NA NA "reads and writes numbers up to 1 000 in symbols and in words."
"126" "M2NS-Ic-14" "M02NS1006" NA NA "visualizes and writes three- digit numbers in expanded form."
"127" "M2NS-Id-12.2" "M02NS1007" NA NA "visualizes and compares numbers up to 1 000 using relation symbols."
"128" "M2NS-Id-13.2" "M02NS1008" NA NA "visualizes and orders numbers up to 1 000 in_increasing"
"129" "M2NS-Ie-16.2" "M02NS1009" NA NA "identifies the 1st through the 20th with the emphasis on 11th to 20th object in a given set from a given point of reference."
"130" "M2NS-Ie-17.2" "M02NS1010" NA NA "reads and writes ordinal numbers from 1st through the 20th."
"131" "M2NS-Ie-18" "M02NS1011" NA NA "identifies and uses the pattern of naming ordinal numbers from 1st to the 20th."
"132" "M2NS-If-20.1" "M02NS1012" NA NA "reads and writes money in symbols and in words through PhP100."
"133" "M2NS-If-21" "M02NS1013" NA NA "counts  the value of a set of bills or a set of coins through PhP100 (peso- coins only; centavo-coins only; peso-bills only and combined peso-coins and peso-bills)."
"134" "M2NS-If-22.1" "M02NS1014" NA NA "compares values of different denominations of coins and paper bills through PhP100 using relation symbols."
"135" "M2NS-Ig-26.3" "M02NS1015" NA NA "illustrates the properties of addition (commutative, associative, identity) and applies each in appropriate and relevant situations."
"136" "M2NS-Ig-27.4" "M02NS1016" NA NA "visualizes, represents, and adds 2-digit by 3-digit numbers with sums up to 1000 without and with regrouping ."
"137" "M2NS-Ih-27.5" "M02NS1017" NA NA "visualizes, represents, and adds 3-digit by 3-digit numbers with sums up to 1000 without and with regrouping."
"138" "M2NS-Ih-28.3" "M02NS1018" NA NA "adds mentally 1- to 2-digit numbers with sums up to50 using appropriate_strategies"
"139" "M2NS-Ii-28.4" "M02NS1019" NA NA "adds mentally 3-digit numbers and 1-digit numbers using appropriatestrategies."
"140" "M2NS-Ii-28.5" "M02NS1020" NA NA "adds mentally three -digit numbers and tens (multiples of 10 up to 90)using appropriate strategies."
"141" "M2NS-Ii-28.6" "M02NS1021" NA NA "adds mentally  3-digit numbers and hundreds (multiples of 100 up to 900)using appropriate strategies."
"142" "M2NS-Ij-29.2" "M02NS1022" NA NA "solves routine and non- routine problems involving addition of whole numbers including money with sums up to 1000 using appropriate problem solving strategies and  tools."
"143" "M2NS-Ij-30.2" "M02NS1023" NA NA "creates problems involvingaddition of whole numbers including money."
"144" "M2NS-IIa-32.5" "M02NS2024" " understanding of subtraction and multiplication of whole numbers up to 1000 including money." " apply subtraction and multiplication of whole numbers up to 1000 including money in mathematical problems and real-life situations." "visualizes, represents, and subtracts 2- to 3-digit numbers with minuends up to 999 without and with regrouping."
"145" "M2NS-IIb-33.2" "M02NS2025" NA NA "subtracts mentally 1-digit numbers from 1- to 3-digit numbers without regrouping using appropriate strategies."
"146" "M2NS-IIb-33.3" "M02NS2026" NA NA "subtracts mentally 3-digit numbers by tens and by hundreds without regrouping usingappropriate strategies."
"147" "M2NS-IIc-34.2" "M02NS2027" NA NA "solves routine and non- routine problems involving subtraction of whole numbers including money with minuends up to 1000 using appropriate problem solving strategies and tools."
"148" "M2NS-IId-35.2" "M02NS2028" NA NA "creates problems involvingsubtraction of whole numbers including money."
"149" "M2NS-IId-34.3" "M02NS2029" NA NA "performs orders of operations involving addition and subtractions of small numbers."
"150" "M2NS-IIe-34.4" "M02NS2030" NA NA "solves multi-step routine and non-routine problems involving addition and subtraction of 2- to 3-digit numbers including money using appropriate problem solving strategies and tools."
"151" "M2NS-IIe-35.3" "M02NS2031" NA NA "creates word problems involving addition and subtraction of wholenumbers including money."
"152" "M2NS-IIf-38" "M02NS2032" NA NA "illustrates multiplication as repeated addition using-   groups of equal quantities-   arrays-   counting by multiples-   equal jumps on the number line"
"153" "M2NS-IIf-39" "M02NS2033" NA NA "writes a related equation for each type of multiplication: repeated addition, array, counting by multiples, and equal jumps on the number line."
"154" "M2NS-IIg-40.1" "M02NS2034" NA NA "illustrates the property of multiplication that any number multiplied by one(1) is the same number."
"155" "M2NS-IIg-40.2" "M02NS2035" NA NA "illustrates the property of multiplication that zero multiplied by any number is zero."
"156" "M2NS-IIg-40.3" "M02NS2036" NA NA "illustrates the commutative property of multiplication."
"157" "M2NS-IIh-41.1" "M02NS2037" NA NA "visualizes multiplication of numbers 1 to 10 by 2,3,4,5 and10."
"158" "M2NS-IIi-42.1" "M02NS2038" NA NA "multiplies mentally 2,3,4,5 and 10 using appropriatestrategies."
"159" "M2NS-IIi-45.1" "M02NS2039" NA NA "solves routine and non- routine problems involving multiplication of whole numbers including money using appropriate problem solving strategies and tools."
"160" "M2NS-IIj-45.2" "M02NS2040" NA NA "solves routine and non- routine problems involving multiplication and addition or subtraction of whole numbers including money using appropriate problem solving strategies and tools."
"161" "M2NS-IIj-46.1" "M02NS2041" NA NA "creates problems involving multiplication only and multiplication with addition or subtraction of whole numbers including money with reasonable answers."
"162" "M2NS-IIIa-49" "M02NS3042" " understanding of division of whole numbers up to 1000 including money. _ understanding of unit fractions." " apply division of whole numbers up to 1000 including money in mathematical problems  and real-life situations. _ recognize and represent unit fractions in various forms and contexts." "visualizes and represents division as equal sharing, repeated subtraction, equal jumps on the number line and using formation of equal groups of objects"
"163" "M2NS-IIIa-50" "M02NS3043" NA NA "creates and writes a related equation for each type of situation: equal sharing, repeated subtraction, equaljumps on the number line,_and"
"164" "M2NS-IIIb-51.1" "M02NS3044" NA NA "visualizes division of numbers up to 100 by 2,3,4,5, and 10 (multiplication table of 2, 3, 4, 5 and 10)."
"165" "M2NS-IIIb-52.1" "M02NS3045" NA NA "divides mentally numbers by  2,3,4,5 and 10 using appropriate strategies (multiplication table of 2, 3,4, 5 and 10)."
"166" "M2NS-IIIc-53" "M02NS3046" NA NA "illustrates that multiplication and division are inverse operations."
"167" "M2NS-IIIc-56.1" "M02NS3047" NA NA "solves routine and non- routine problems involving division of numbers by 2,3,4,5 and 10 and with any of the other operations of whole numbers including money using appropriate problem solving strategies and tools."
"168" "M2NS-IIIc-57.1" "M02NS3048" NA NA "creates word problems involving division of whole numbers including money."
"169" "M2NS-IIId-72.2" "M02NS3049" NA NA "visualizes, represents and identifies unit fractions with denominators of 10 and below."
"170" "M2NS-IIId-76.1" "M02NS3050" NA NA "reads and writes unit fractions."
"171" "M2NS-IIIe-77.1" "M02NS3051" NA NA "compares unit fractions using relation symbols."
"172" "M2NS-IIIe-78.1" "M02NS3052" NA NA "arranges unit fractions in increasing or decreasing order."
"173" "M2NS-IIIe-79.1" "M02NS3053" NA NA "identifies other fractions less than one with denominators 10 and below."
"174" "M2NS-IIIf-72.3" "M02NS3054" NA NA "visualizes similar fractions (using group of objects and number line)."
"175" "M2NS-IIIf-76.2" "M02NS3055" NA NA "reads and writes similar fractions."
"176" "M2NS-IIIf-77.2" "M02NS3056" NA NA "compares similar fractions using relation symbols."
"177" "M2NS-IIIf-78.2" "M02NS3057" NA NA "arranges similar fractions in increasing or decreasing order."
"178" "M2GE-IIIg-5" "M02GE3058" " understanding of straight and curved lines, flat and curved surfaces, basic shapes, symmetry in a line, and tessellations using triangles and squares." " recognize and construct straight and curved lines, flat and curved surfaces, basic shapes and create simple designs that show symmetry in a line and tessellation using triangles and squares." "visualizes, identifies, classifies and describes half circles and quartercircles."
"179" "M2GE-IIIg-6" "M02GE3059" NA NA "constructs squares, rectangles, triangles, circles, half-circles, andquarter circles using cut- outs and square grids."
"180" "M2GE-IIIh-7.1" "M02GE3060" NA NA "identifies shapes/figures that show symmetry in a line."
"181" "M2GE-IIIh-7.4" "M02GE3061" NA NA "identifies and draws the line of symmetry in a given symmetricalfigure."
"182" "M2GE-IIIh-7.2" "M02GE3062" NA NA "creates figures that show symmetry in a line."
"183" "M2GE-IIIh-8.1" "M02GE3063" NA NA "recognizes shapes that can tessellate."
"184" "M2GE-IIIi-8.2" "M02GE3064" NA NA "tessellates a surface using triangles and squares."
"185" "M2GE-IIIi-9" "M02GE3065" NA NA "identifies straight lines and curves, flat and curved surfaces in a 3- dimensional object."
"186" "M2GE-IIIi-10" "M02GE3066" NA NA "explains the differences between straight lines and curved lines, flat surfaces and curved surfaces."
"187" "M2AL-IIIj-3" "M02AL3067" " understanding of continuous patterns using two attributes and mathematical sentences involving multiplication and division of whole numbers using 2, 3, 4, 5 and 10 only." " apply knowledge of continuous patterns using two attributes and number sentences involving multiplication and division using 2, 3, 4, 5 and 10 only in various situations." "determines the missing term/s in a given continuous pattern using two attributes (any two of the following: figures, numbers, colors, sizes, and orientations, etc."
"188" "M2AL-IIIj-11" "M02AL3068" NA NA "visualizes and finds the missing value in a number sentence involving multiplication or division of whole numbers using  2, 3, 4, 5 and 10 only."
"189" "M2ME-IVa-5" "M02ME4069" " understanding of time, standard measures of length, mass and capacity and area using square-tile units." " apply knowledge of time, standard measures of length, weight, and capacity, and area using square-tile units in mathematical problems and real-life situations." "tells and writes time in minutes including a.m"
"190" "M2ME-IVa-6" "M02ME4070" NA NA "visualizes and finds the elapsed time in days."
"191" "M2ME-IVa-7" "M02ME4071" NA NA "visualizes, represents, and solves problems involving time (minutes includinga.m"
"192" "M2ME-IVb-23" "M02ME4072" NA NA "shows and uses the appropriate unit of length and their abbreviation cm and m to measure a particular object."
"193" "M2ME-IVb-24" "M02ME4073" NA NA "compares length in meters or centimeters."
"194" "M2ME-IVb-25" "M02ME4074" NA NA "measures objects using appropriate measuring tools in m or cm."
"195" "M2ME-IVc-26" "M02ME4075" NA NA "estimates and measures length using meter or centimeter."
"196" "M2ME-IVc-27" "M02ME4076" NA NA "solves routine and non- routine problems involving length."
"197" "M2ME-IVd-28" "M02ME4077" NA NA "shows and uses theappropriate unit of weight_and"
"198" "M2ME-IVd-29" "M02ME4078" NA NA "compares mass in grams or kilograms."
"199" "M2ME-IVd-30" "M02ME4079" NA NA "measures objects using appropriate measuring units in g or kg."
"200" "M2ME-IVe-31" "M02ME4080" NA NA "estimates and measures mass using gram or kilogram."
"201" "M2ME-IVe-32" "M02ME4081" NA NA "solves routine and non- routine problems involving mass."
"202" "M2ME-IVf-33" "M02ME4082" NA NA "measures objects using appropriate measuring tools in mL or L."
"203" "M2ME-IVf-34" "M02ME4083" NA NA "creates problems involving length, mass and capacity."
"204" "M2ME-IVg-35" "M02ME4084" NA NA "illustrates area as a measure of how much surface is covered or occupied by a plane figure."
"205" "M2ME-IVg-36" "M02ME4085" NA NA "finds the area of a given figure using square-tile units i.e"
"206" "M2ME-IVh-37" "M02ME4086" NA NA "estimates the area of a given figure using any shape."
"207" "M2ME-IVh-38" "M02ME4087" NA NA "solves routine and non- routine problems involving any figure using squaretiles."
"208" "M2SP-IVh-1.2" "M02SP4088" "deepens understanding of pictographs without and with scales and outcomes of an event using the terms likely, equally likely and unlikely to happen.  " " create and interpret simple representations of data (tables and pictographs without and with scales) and describe outcomes of familiar events using the terms likely, equally likely and unlikely to happen." "collects data on onevariable using a questionnaire."
"209" "M2SP-IVi-2.2" "M02SP4089" NA NA "sorts, classifies, and organizes data in tabular form and presents this into a pictograph without and with scales."
"210" "M2SP-IVi-3.2" "M02SP4090" NA NA "infers and interprets data presented in a  pictograph without and with scales."
"211" "M2SP-IVi-4.2" "M02SP4091" NA NA "solves routine and non- routine problems using data presented in a pictograph without andwith scales."
"212" "M2SP-IVj-7.2" "M02SP4092" NA NA "tells whether an event is likely, equally likely, unlikely to happen."
"213" "M2SP-IVj-8.2" "M02SP4093" NA NA "describe events in real-life situations using the phrases “ likely to happen” or “unlikely to happen” or“equally likely to happen”."
"214" "M3NS-Ia-1.3" "M03NS1001" " understanding of  whole numbers up to 10 000, ordinal numbers up to 100th, and money up to PhP1000. _ understanding of addition and subtraction of whole numbers including money  " " recognize, represent, compare, and order whole numbers up to 10 000, and money up to PhP1000  in various forms and contexts. _ recognize and represent, ordinal numbers up to 100th  in various forms and contexts. _ apply addition and subtraction of whole numbers including money in mathematical problems  and real-life situations." "visualizes numbers up to 10 000 with emphasis on numbers 1001 - 10000."
"215" "M3NS-Ia-10.3" "M03NS1002" NA NA "gives the place value and value of a digit in 4- to 5-digit numbers."
"216" "M3NS-Ia-9.3" "M03NS1003" NA NA "reads and writes  numbers up to 10 000 in symbols and in words."
